Judul,Tanggal,Konten
"ISIS Serang Universitas Kabul, 22 Mahasiswa Tewas",03/11/2020,"Dalam pernyataan yang dikeluarkan oleh istana kepresidenan, Presiden Ashraf Ghani mengatakan pihak berwenang akan ""membalas dendam atas serangan tidak masuk akal ini"""
"Serangan Teror di Pusat Kota Wina, Dua Orang Tewas dan Belasan Terluka",03/11/2020,Kanselir Austria Sebastian Kuerz mengutuk aksi penembakan brutal di Wina sebagai serangan teror yang mengerikan
"Terbukti Terlibat Politik Praktis, Peserta Lulus CPNS Langsung Gugur",02/11/2020,Peserta yang terbukti memiliki keterlibatan dengan parpol dan politik praktis dapat digugurkan kelulusanny
Gereja Katolik Notre-Dame Nice Rayakan Misa Arwah Bagi Korban Penyerangan,02/11/2020,"Gereja Katolik Notre-Dame Nice terletak tidak jauh dari kawasan pejalan kaki di tepi pantai, tempat seorang tersangka pernah menabrakkan truk seberat 19 ton ke kerumunan pada tahun 2016, menewaskan lebih dari 80 orang pada Hari Bastill"
Senator AWK dan Forum Pemuda NTT Jalin Silaturahmi dengan Brimob Polda NTT,31/10/2020,"""Diharapkan agar acara malam ini membawa energi positif bagi kita semua terkhusus keluarga besar kita di NTT,"" harap Angel"
"Enam Cabub Petahana Terancam Didiskualifikasi Bawaslu, KOMPAK Indonesia: ""Jangan Beri Ruang bagi Koruptor!""",31/10/2020,komendasi diskualifikasi dikeluarkan terkait dugaan penyalahgunaan anggaran
TPDI Kembali Soroti Kinerja Kajati NTT,30/10/2020,"""Namun Kajati NTT tidak mengambil langkah-langkah hukum apa pun untuk mencegah/membatalkan proses pemberian Hak dimaksud, jika terjadi pelanggaran prosedur,"" imbuhny"
"Presiden Macron: Seluruh Prancis Diserang, Tapi Kami Tidak Akan Menyerah",30/10/2020,"Macrom: Jika kita diserang, itu karena norma-norma kita, kebebasan kita, dan keteguhan kita melawan teror. Negara ini tidak akan menyerah sedikit pun"
Presiden Trump Izinkan Warga AS Danai Riset Israel di Tepi Barat,29/10/2020,Presiden Palestina Mahmoud Abbas mengecam keputusan Trump dan menyebutnya sebagai bentuk partisipasi Amerika Serikat dalam penjajahan Palestin
Senat Unflor Gelar Wisuda Online Periode Genap 2019/2020,27/10/2020,"""Tentu akan menjadi sejarah tersendiri bagi para wisudawan-wisudawati, karena untuk pertama kali dalam sejarah akademik, orang tua yang memindahkan tali kucir saat wisuda,"" ungkap Doktor Simon"
"Terharu saat Orang Tua Pindahkan Kucir Toga, Anas Mbere: Terima Kasih 'Ine-Ema'",27/10/2020,"""Kami bangga dan terharu karena meski hanya bekerja sebagai petani, anak kami bisa meraih Sarjana. Intinya, mereka punya bekal untuk masa depan dan mencari kerja. Semoga bisa berguna untuk banyak orang,"" ungkap mama Paulin"
"Perkara Jiwasraya, Benny Tjokro Divonis Penjara Seumur Hidup",27/10/2020,"Benny Tjokro dinilai terbukti melakukan pencucian uang dengan cara memasukkan dana hasil jual beli saham kepada PT. Hanson International, Tbk dan perusahaan-perusahaan yang dikendalikanny"
"Resmi, MK Tolak Permohonan Uji Materi Ketentuan soal Wakil Menteri",27/10/2020,"""Mahkamah tidak menemukan adanya hubungan sebab akibat dari keberlakuan Pasal 23 UU 39 Tahun 2008 dengan kerugian yang dialami oleh pemohon berkaitan dengan hak konstitusional sebagaimana diatur dalam UUD 1945,"" ujar Hakim Suhartoy"
Paus Fransiskus Segera Angkat 13 Kardinal Baru,26/10/2020,"Gregory yang ditunjuk sebagai Kardinal menjadi berita utama pada bulan Juni tahun ini, ketika dia mengecam keras kunjungan Presiden AS Donald Trump ke Gereja Paus Yoh. Paulus II di Washington, D.C"
"Soal Status Pemilikan Tanah Pemkot Kupang, TPDI: Kajati NTT Harus Tempuh Upaya Perdata",25/10/2020,"""Oleh karena itu, Kejaksaan harus mempertimbangkan semua sarana hukum yang ada, mempertimbangkan konsep dan roh Peraturan Jaksa Agung tentang Restorative Justice yang sudah menjadi pedoman bagi kejaksaan dalam menangani kasus dugaan korupsi,"" katany"
"Versi Pemerintah, Terdapat 9 Manfaat RUU Cipta Kerja",24/10/2020,"""RUU Cipta Kerja akan mendorong reformasi regulasi dan debirokratisasi, sehingga pelayanan pemerintahan akan lebih efisien, mudah, dan pasti, dengan adanya penerapan norma,"" ujar Airlangg"
Jawaban Atas Pertanyaan Seputar Pernyataan Paus Fransiskus Tentang “Civil Union Laws” Bagi LGBT,23/10/2020,"Pernyataan Paus Fransiskus dalam film documenter berjudul ""Francesco"" bukan merupakan ajaran resmi kepausan"
Demonstran Tuntut Perdana Menteri Thailand Mundur dalam Waktu Tiga Hari,22/10/2020,ibuan demonstran bergerak ke Gedung Parlemen Thailand untuk menentang larangan berkumpul lebih dari empat orang selama enam hari berturut-turut
Pakar Hukum Nilai UU Cipta Kerja Akomodir Kepentingan Pekerja,22/10/2020,"Junimart turut mencermati berbagai diskusi dan juga demonstrasi menolak UU ini, yang sesungguhnya banyak hal yang tidak sesuai konteks"
